"captured_at","repeat","n","launch_position","variant","gpu_timestamp","gpu_name","driver_version","temperature_c","power_w","graphics_clock_mhz","memory_clock_mhz","gpu_utilization_pct","memory_utilization_pct"
"2026-08-22T14:25:13.1615604-04:00","0","64","0","V3f","2026/08/22 14:25:13.105","NVIDIA GeForce GTX 1650","573.22","65","13.30","1020","3500","24","7"
"2026-08-22T14:25:13.8976733-04:00","0","64","1","V4","2026/08/22 14:25:13.872","NVIDIA GeForce GTX 1650","573.22","65","13.44","1020","3500","15","3"
