timestamp,phase,run_index,requested_name,variant,panel_width,n,gpu_name,driver_version,temp_c,power_w,graphics_clock_mhz,memory_clock_mhz
2026-07-11T16:38:53,timed,1,V6c_b64,V6c,64,1024,NVIDIA GeForce GTX 1650,573.22,61,11.90,1020,3401
2026-07-11T16:38:54,timed,1,V6c_b128,V6c,128,1024,NVIDIA GeForce GTX 1650,573.22,61,11.83,1020,3401
2026-07-11T16:38:55,timed,1,V6d,V6d,,1024,NVIDIA GeForce GTX 1650,573.22,61,11.93,1020,3401
2026-07-11T16:38:56,timed,2,V6c_b32,V6c,32,1024,NVIDIA GeForce GTX 1650,573.22,62,11.92,1020,3401
2026-07-11T16:38:57,timed,2,V6c_b64,V6c,64,1024,NVIDIA GeForce GTX 1650,573.22,62,11.85,1020,3401
2026-07-11T16:38:58,timed,2,V6c_b128,V6c,128,1024,NVIDIA GeForce GTX 1650,573.22,62,11.90,1020,3401
2026-07-11T16:38:59,timed,2,V6d,V6d,,1024,NVIDIA GeForce GTX 1650,573.22,62,11.80,1020,3401
2026-07-11T16:39:00,timed,3,V6c_b32,V6c,32,1024,NVIDIA GeForce GTX 1650,573.22,61,11.87,1020,3401
2026-07-11T16:39:01,timed,3,V6c_b64,V6c,64,1024,NVIDIA GeForce GTX 1650,573.22,61,11.91,1020,3401
2026-07-11T16:39:02,timed,3,V6c_b128,V6c,128,1024,NVIDIA GeForce GTX 1650,573.22,61,11.79,1020,3401
2026-07-11T16:39:03,timed,3,V6d,V6d,,1024,NVIDIA GeForce GTX 1650,573.22,61,11.86,1020,3401
2026-07-11T16:39:04,timed,4,V6c_b32,V6c,32,1024,NVIDIA GeForce GTX 1650,573.22,61,11.86,1020,3401
2026-07-11T16:39:05,timed,4,V6c_b64,V6c,64,1024,NVIDIA GeForce GTX 1650,573.22,61,11.90,1020,3401
2026-07-11T16:39:05,timed,4,V6c_b128,V6c,128,1024,NVIDIA GeForce GTX 1650,573.22,61,11.90,1020,3401
2026-07-11T16:39:06,timed,4,V6d,V6d,,1024,NVIDIA GeForce GTX 1650,573.22,61,11.92,1020,3401
2026-07-11T16:39:07,timed,5,V6c_b32,V6c,32,1024,NVIDIA GeForce GTX 1650,573.22,61,11.86,1020,3401
2026-07-11T16:39:08,timed,5,V6c_b64,V6c,64,1024,NVIDIA GeForce GTX 1650,573.22,61,11.87,1020,3401
2026-07-11T16:39:09,timed,5,V6c_b128,V6c,128,1024,NVIDIA GeForce GTX 1650,573.22,61,11.90,1020,3401
2026-07-11T16:39:10,timed,5,V6d,V6d,,1024,NVIDIA GeForce GTX 1650,573.22,61,11.89,1020,3401
2026-07-11T16:39:11,timed,6,V6c_b32,V6c,32,1024,NVIDIA GeForce GTX 1650,573.22,61,11.80,1020,3401
2026-07-11T16:39:12,timed,6,V6c_b64,V6c,64,1024,NVIDIA GeForce GTX 1650,573.22,61,11.85,1020,3401
2026-07-11T16:39:13,timed,6,V6c_b128,V6c,128,1024,NVIDIA GeForce GTX 1650,573.22,61,11.87,1020,3401
2026-07-11T16:39:14,timed,6,V6d,V6d,,1024,NVIDIA GeForce GTX 1650,573.22,61,11.88,1020,3401
2026-07-11T16:39:16,warmup,-1,V6c_b32,V6c,32,2048,NVIDIA GeForce GTX 1650,573.22,61,11.89,1020,3401
2026-07-11T16:39:17,warmup,-1,V6c_b64,V6c,64,2048,NVIDIA GeForce GTX 1650,573.22,61,11.89,1020,3401
2026-07-11T16:39:18,warmup,-1,V6c_b128,V6c,128,2048,NVIDIA GeForce GTX 1650,573.22,61,11.86,1020,3401
2026-07-11T16:39:20,warmup,-1,V6d,V6d,,2048,NVIDIA GeForce GTX 1650,573.22,61,11.88,1020,3401
2026-07-11T16:39:21,timed,0,V6c_b32,V6c,32,2048,NVIDIA GeForce GTX 1650,573.22,61,11.88,1020,3401
2026-07-11T16:39:22,timed,0,V6c_b64,V6c,64,2048,NVIDIA GeForce GTX 1650,573.22,61,11.89,1020,3401
2026-07-11T16:39:23,timed,0,V6c_b128,V6c,128,2048,NVIDIA GeForce GTX 1650,573.22,61,11.90,1020,3401
2026-07-11T16:39:25,timed,0,V6d,V6d,,2048,NVIDIA GeForce GTX 1650,573.22,61,11.91,1020,3401
2026-07-11T16:39:26,timed,1,V6c_b32,V6c,32,2048,NVIDIA GeForce GTX 1650,573.22,61,11.91,1020,3401
2026-07-11T16:39:27,timed,1,V6c_b64,V6c,64,2048,NVIDIA GeForce GTX 1650,573.22,61,11.84,1020,3401
2026-07-11T16:39:28,timed,1,V6c_b128,V6c,128,2048,NVIDIA GeForce GTX 1650,573.22,61,11.89,1020,3401
2026-07-11T16:39:29,timed,1,V6d,V6d,,2048,NVIDIA GeForce GTX 1650,573.22,61,11.88,1020,3401
2026-07-11T16:39:31,timed,2,V6c_b32,V6c,32,2048,NVIDIA GeForce GTX 1650,573.22,61,11.84,1020,3401
2026-07-11T16:39:32,timed,2,V6c_b64,V6c,64,2048,NVIDIA GeForce GTX 1650,573.22,61,11.86,1020,3401
2026-07-11T16:39:33,timed,2,V6c_b128,V6c,128,2048,NVIDIA GeForce GTX 1650,573.22,61,11.87,1020,3401
2026-07-11T16:39:34,timed,2,V6d,V6d,,2048,NVIDIA GeForce GTX 1650,573.22,61,11.89,1020,3401
2026-07-11T16:39:36,timed,3,V6c_b32,V6c,32,2048,NVIDIA GeForce GTX 1650,573.22,61,11.86,1020,3401
2026-07-11T16:39:37,timed,3,V6c_b64,V6c,64,2048,NVIDIA GeForce GTX 1650,573.22,61,11.86,1020,3401
2026-07-11T16:39:38,timed,3,V6c_b128,V6c,128,2048,NVIDIA GeForce GTX 1650,573.22,61,11.89,1020,3401
2026-07-11T16:39:40,timed,3,V6d,V6d,,2048,NVIDIA GeForce GTX 1650,573.22,61,11.83,1020,3401
2026-07-11T16:39:41,timed,4,V6c_b32,V6c,32,2048,NVIDIA GeForce GTX 1650,573.22,61,11.87,1020,3401
2026-07-11T16:39:42,timed,4,V6c_b64,V6c,64,2048,NVIDIA GeForce GTX 1650,573.22,61,11.84,1020,3401
2026-07-11T16:39:43,timed,4,V6c_b128,V6c,128,2048,NVIDIA GeForce GTX 1650,573.22,61,11.97,1020,3401
2026-07-11T16:39:45,timed,4,V6d,V6d,,2048,NVIDIA GeForce GTX 1650,573.22,61,11.91,1020,3401
