"captured_at","repeat","n","launch_position","variant","sample_index","elapsed_s","gpu_timestamp","gpu_name","driver_version","temperature_c","power_w","graphics_clock_mhz","memory_clock_mhz","gpu_utilization_pct","memory_utilization_pct"
"2026-08-22T15:30:07.4497021-04:00","0","64","0","V3f","0","0.02973","2026/08/22 15:30:07.418","NVIDIA GeForce GTX 1650","573.22","61","12.36","1020","3500","3","0"
"2026-08-22T15:30:07.6574140-04:00","0","64","0","V3f","1","0.275821","2026/08/22 15:30:07.639","NVIDIA GeForce GTX 1650","573.22","61","12.47","1020","3500","3","0"
"2026-08-22T15:30:07.9553530-04:00","0","64","1","V4","0","0.013655","2026/08/22 15:30:07.940","NVIDIA GeForce GTX 1650","573.22","62","12.32","1020","3500","3","0"
"2026-08-22T15:30:08.1636599-04:00","0","64","1","V4","1","0.209446","2026/08/22 15:30:08.141","NVIDIA GeForce GTX 1650","573.22","62","12.38","1020","3500","2","0"
