"captured_at","sequence","protocol_repeat","stage","n","kappa","requested_variant","launch_position","gpu_timestamp","gpu_name","driver_version","temperature_c","power_w","sm_clock_mhz","memory_clock_mhz","gpu_utilization_pct","memory_utilization_pct"
"2026-08-14T18:27:29.1976792-04:00","0","0","warmup","32","100","V4","0","2026/08/14 18:27:29.172","NVIDIA GeForce GTX 1650","573.22","55","4.14","300","405","0","0"
"2026-08-14T18:27:29.5477164-04:00","0","0","warmup","32","100","V4","0","2026/08/14 18:27:29.528","NVIDIA GeForce GTX 1650","573.22","55","5.07","1020","3500","0","0"
"2026-08-14T18:27:30.0983445-04:00","1","0","warmup","32","100","V6c","1","2026/08/14 18:27:30.072","NVIDIA GeForce GTX 1650","573.22","55","12.02","1020","3500","3","0"
"2026-08-14T18:27:30.3799658-04:00","1","0","warmup","32","100","V6c","1","2026/08/14 18:27:30.379","NVIDIA GeForce GTX 1650","573.22","55","12.07","1020","3500","3","0"
"2026-08-14T18:27:30.7847524-04:00","2","1","record","32","100","V6c","0","2026/08/14 18:27:30.766","NVIDIA GeForce GTX 1650","573.22","56","12.05","1020","3500","3","0"
"2026-08-14T18:27:31.0985592-04:00","2","1","record","32","100","V6c","0","2026/08/14 18:27:31.083","NVIDIA GeForce GTX 1650","573.22","56","12.10","1020","3500","2","0"
"2026-08-14T18:27:31.4711262-04:00","3","1","record","32","100","V4","1","2026/08/14 18:27:31.448","NVIDIA GeForce GTX 1650","573.22","56","12.07","1020","3500","2","0"
"2026-08-14T18:27:31.7828181-04:00","3","1","record","32","100","V4","1","2026/08/14 18:27:31.767","NVIDIA GeForce GTX 1650","573.22","56","12.11","1020","3500","2","0"
