"captured_at","sequence","protocol_repeat","stage","n","kappa","requested_variant","launch_position","gpu_timestamp","gpu_name","driver_version","temperature_c","power_w","sm_clock_mhz","memory_clock_mhz","gpu_utilization_pct","memory_utilization_pct"
"2026-08-14T18:28:11.6488887-04:00","6","0","warmup","2000","10000","V6e","2","2026/08/14 18:28:11.648","NVIDIA GeForce GTX 1650","573.22","59","12.22","1020","3500","5","1"
"2026-08-14T18:28:11.9661681-04:00","6","0","warmup","2000","10000","V6e","2","2026/08/14 18:28:11.955","NVIDIA GeForce GTX 1650","573.22","59","12.35","1020","3500","5","1"
"2026-08-14T18:28:12.2537678-04:00","6","0","warmup","2000","10000","V6e","2","2026/08/14 18:28:12.237","NVIDIA GeForce GTX 1650","573.22","59","12.87","1275","3500","11","1"
"2026-08-14T18:28:12.6202544-04:00","7","0","warmup","2000","10000","V5c","3","2026/08/14 18:28:12.601","NVIDIA GeForce GTX 1650","573.22","59","13.00","1275","3500","11","1"
"2026-08-14T18:28:12.9052488-04:00","7","0","warmup","2000","10000","V5c","3","2026/08/14 18:28:12.885","NVIDIA GeForce GTX 1650","573.22","59","12.99","1275","3500","11","1"
"2026-08-14T18:28:13.2039656-04:00","7","0","warmup","2000","10000","V5c","3","2026/08/14 18:28:13.184","NVIDIA GeForce GTX 1650","573.22","59","13.03","1275","3500","0","0"
"2026-08-14T18:28:13.4984909-04:00","7","0","warmup","2000","10000","V5c","3","2026/08/14 18:28:13.477","NVIDIA GeForce GTX 1650","573.22","59","13.09","1275","3500","0","0"
"2026-08-14T18:28:13.7928476-04:00","7","0","warmup","2000","10000","V5c","3","2026/08/14 18:28:13.769","NVIDIA GeForce GTX 1650","573.22","59","13.94","1275","3500","0","0"
"2026-08-14T18:28:14.1363260-04:00","8","0","warmup","2000","1000000","V4","0","2026/08/14 18:28:14.121","NVIDIA GeForce GTX 1650","573.22","59","12.22","1020","3500","0","0"
"2026-08-14T18:28:14.4522458-04:00","8","0","warmup","2000","1000000","V4","0","2026/08/14 18:28:14.418","NVIDIA GeForce GTX 1650","573.22","59","12.25","1020","3500","7","1"
