"sequence","protocol_repeat","stage","n","kappa","requested_variant","launch_position","protocol_seed","raw_row_index","started_at","process_wall_ms","status","failure"
"247","5","record","2000","10000","V4","3","5000057","247","2026-08-14T19:06:03.2412140-04:00","1342.296","ok",""
"248","5","record","2000","1000000","V6c","0","5000057","248","2026-08-14T19:06:04.6980674-04:00","1550.116","ok",""
"249","5","record","2000","1000000","V6e","1","5000057","249","2026-08-14T19:06:06.3604668-04:00","1521.901","ok",""
"250","5","record","2000","1000000","V5c","2","5000057","250","2026-08-14T19:06:07.9820174-04:00","1534.108","ok",""
"251","5","record","2000","1000000","V4","3","5000057","251","2026-08-14T19:06:09.6167867-04:00","1527.662","ok",""
"252","5","record","4096","100","V6c","0","5000057","252","2026-08-14T19:06:11.2524155-04:00","5734.068","ok",""
"253","5","record","4096","100","V6e","1","5000057","253","2026-08-14T19:06:17.1035472-04:00","5721.177","ok",""
"254","5","record","4096","100","V5c","2","5000057","254","2026-08-14T19:06:22.9301894-04:00","5704.768","ok",""
"255","5","record","4096","100","V4","3","5000057","255","2026-08-14T19:06:28.7526708-04:00","5816.016","ok",""
"256","5","record","4096","10000","V6c","0","5000057","256","2026-08-14T19:06:34.6692147-04:00","5943.006","ok",""
"257","5","record","4096","10000","V6e","1","5000057","257","2026-08-14T19:06:40.7245770-04:00","5700.591","ok",""
"258","5","record","4096","10000","V5c","2","5000057","258","2026-08-14T19:06:46.5546886-04:00","5960.687","ok",""
"259","5","record","4096","10000","V4","3","5000057","259","2026-08-14T19:06:52.6229464-04:00","5500.538","ok",""
"260","5","record","4096","1000000","V6c","0","5000057","260","2026-08-14T19:06:58.2459315-04:00","5768.298","ok",""
"261","5","record","4096","1000000","V6e","1","5000057","261","2026-08-14T19:07:04.1286667-04:00","5772.652","ok",""
"262","5","record","4096","1000000","V5c","2","5000057","262","2026-08-14T19:07:10.0206101-04:00","5758.626","ok",""
"263","5","record","4096","1000000","V4","3","5000057","263","2026-08-14T19:07:15.8897352-04:00","5730.918","ok",""
"264","5","record","6000","100","V6c","0","5000057","264","2026-08-14T19:07:21.7455292-04:00","9027.191","ok",""
"265","5","record","6000","100","V6e","1","5000057","265","2026-08-14T19:07:30.8534005-04:00","9358.747","ok",""
"266","5","record","6000","100","V5c","2","5000057","266","2026-08-14T19:07:40.3116743-04:00","9277.69","ok",""
"267","5","record","6000","100","V4","3","5000057","267","2026-08-14T19:07:49.7086348-04:00","8604.989","ok",""
"268","5","record","6000","10000","V6c","0","5000057","268","2026-08-14T19:07:58.4112119-04:00","9025.311","ok",""
"269","5","record","6000","10000","V6e","1","5000057","269","2026-08-14T19:08:07.5352628-04:00","9083.273","ok",""
"270","5","record","6000","10000","V5c","2","5000057","270","2026-08-14T19:08:16.7158342-04:00","9284.835","ok",""
"271","5","record","6000","10000","V4","3","5000057","271","2026-08-14T19:08:26.1018358-04:00","8545.403","ok",""
"272","5","record","6000","1000000","V6c","0","5000057","272","2026-08-14T19:08:34.7537939-04:00","9249.428","ok",""
"273","5","record","6000","1000000","V6e","1","5000057","273","2026-08-14T19:08:44.1047486-04:00","9374.97","ok",""
"274","5","record","6000","1000000","V5c","2","5000057","274","2026-08-14T19:08:53.5763876-04:00","9469.167","ok",""
"275","5","record","6000","1000000","V4","3","5000057","275","2026-08-14T19:09:03.1364061-04:00","8444.447","ok",""
"276","5","record","8000","100","V6c","0","5000057","276","2026-08-14T19:09:11.6757818-04:00","15633.916","ok",""
"277","5","record","8000","100","V6e","1","5000057","277","2026-08-14T19:09:27.4064042-04:00","16235.639","ok",""
"278","5","record","8000","100","V5c","2","5000057","278","2026-08-14T19:09:43.7571259-04:00","19579.687","ok",""
"279","5","record","8000","100","V4","3","5000057","279","2026-08-14T19:10:03.4385835-04:00","15129.435","ok",""
"280","5","record","8000","10000","V6c","0","5000057","280","2026-08-14T19:10:18.6675120-04:00","15754.666","ok",""
"281","5","record","8000","10000","V6e","1","5000057","281","2026-08-14T19:10:34.5021324-04:00","16673.386","ok",""
"282","5","record","8000","10000","V5c","2","5000057","282","2026-08-14T19:10:51.2986364-04:00","16366.945","ok",""
"283","5","record","8000","10000","V4","3","5000057","283","2026-08-14T19:11:07.8017689-04:00","14941.657","ok",""
"284","5","record","8000","1000000","V6c","0","5000057","284","2026-08-14T19:11:22.8623920-04:00","16271.055","ok",""
"285","5","record","8000","1000000","V6e","1","5000057","285","2026-08-14T19:11:39.2290000-04:00","16229.27","ok",""
"286","5","record","8000","1000000","V5c","2","5000057","286","2026-08-14T19:11:55.5732752-04:00","16666.961","ok",""
"287","5","record","8000","1000000","V4","3","5000057","287","2026-08-14T19:12:12.3346530-04:00","15067.149","ok",""
"288","6","record","2000","100","V6e","0","6000060","288","2026-08-14T19:12:27.4837277-04:00","1471.144","ok",""
"289","6","record","2000","100","V5c","1","6000060","289","2026-08-14T19:12:29.0851456-04:00","1471.655","ok",""
"290","6","record","2000","100","V4","2","6000060","290","2026-08-14T19:12:30.6531904-04:00","1273.875","ok",""
"291","6","record","2000","100","V6c","3","6000060","291","2026-08-14T19:12:32.0762584-04:00","1521.404","ok",""
"292","6","record","2000","10000","V6e","0","6000060","292","2026-08-14T19:12:33.7092845-04:00","1497.59","ok",""
"293","6","record","2000","10000","V5c","1","6000060","293","2026-08-14T19:12:35.2999618-04:00","1445.735","ok",""
"294","6","record","2000","10000","V4","2","6000060","294","2026-08-14T19:12:36.8431665-04:00","1297.639","ok",""
"295","6","record","2000","10000","V6c","3","6000060","295","2026-08-14T19:12:38.2467841-04:00","1473.387","ok",""
"296","6","record","2000","1000000","V6e","0","6000060","296","2026-08-14T19:12:39.8471943-04:00","1317.453","ok",""
"297","6","record","2000","1000000","V5c","1","6000060","297","2026-08-14T19:12:41.2617085-04:00","1505.264","ok",""
"298","6","record","2000","1000000","V4","2","6000060","298","2026-08-14T19:12:42.8559209-04:00","1288.83","ok",""
"299","6","record","2000","1000000","V6c","3","6000060","299","2026-08-14T19:12:44.2573587-04:00","1491.336","ok",""
"300","6","record","4096","100","V6e","0","6000060","300","2026-08-14T19:12:45.8501722-04:00","5404.174","ok",""
"301","6","record","4096","100","V5c","1","6000060","301","2026-08-14T19:12:51.3396305-04:00","5591.274","ok",""
"302","6","record","4096","100","V4","2","6000060","302","2026-08-14T19:12:57.0600052-04:00","5375.528","ok",""
"303","6","record","4096","100","V6c","3","6000060","303","2026-08-14T19:13:02.5300706-04:00","5459.665","ok",""
"304","6","record","4096","10000","V6e","0","6000060","304","2026-08-14T19:13:08.0919326-04:00","5357.044","ok",""
"305","6","record","4096","10000","V5c","1","6000060","305","2026-08-14T19:13:13.5697267-04:00","5663.208","ok",""
"306","6","record","4096","10000","V4","2","6000060","306","2026-08-14T19:13:19.3464766-04:00","5289.492","ok",""
"307","6","record","4096","10000","V6c","3","6000060","307","2026-08-14T19:13:24.7289492-04:00","5369.006","ok",""
"308","6","record","4096","1000000","V6e","0","6000060","308","2026-08-14T19:13:30.2062782-04:00","5397.175","ok",""
"309","6","record","4096","1000000","V5c","1","6000060","309","2026-08-14T19:13:35.6944376-04:00","5434.533","ok",""
"310","6","record","4096","1000000","V4","2","6000060","310","2026-08-14T19:13:41.2344573-04:00","5261.691","ok",""
"311","6","record","4096","1000000","V6c","3","6000060","311","2026-08-14T19:13:46.6108493-04:00","5387.276","ok",""
"312","6","record","6000","100","V6e","0","6000060","312","2026-08-14T19:13:52.0915190-04:00","9285.167","ok",""
"313","6","record","6000","100","V5c","1","6000060","313","2026-08-14T19:14:01.4838020-04:00","8900.151","ok",""
"314","6","record","6000","100","V4","2","6000060","314","2026-08-14T19:14:10.5088536-04:00","8728.602","ok",""
"315","6","record","6000","100","V6c","3","6000060","315","2026-08-14T19:14:19.3328229-04:00","8638.337","ok",""
"316","6","record","6000","10000","V6e","0","6000060","316","2026-08-14T19:14:28.1175234-04:00","8994.595","ok",""
"317","6","record","6000","10000","V5c","1","6000060","317","2026-08-14T19:14:37.2174722-04:00","9132.446","ok",""
"318","6","record","6000","10000","V4","2","6000060","318","2026-08-14T19:14:46.4595563-04:00","8608.876","ok",""
"319","6","record","6000","10000","V6c","3","6000060","319","2026-08-14T19:14:55.1652599-04:00","8673.546","ok",""
"320","6","record","6000","1000000","V6e","0","6000060","320","2026-08-14T19:15:03.9469354-04:00","8620.251","ok",""
"321","6","record","6000","1000000","V5c","1","6000060","321","2026-08-14T19:15:12.6815488-04:00","8938.313","ok",""
"322","6","record","6000","1000000","V4","2","6000060","322","2026-08-14T19:15:21.7287333-04:00","8155.299","ok",""
"323","6","record","6000","1000000","V6c","3","6000060","323","2026-08-14T19:15:30.0299422-04:00","8640.27","ok",""
"324","6","record","8000","100","V6e","0","6000060","324","2026-08-14T19:15:38.7709073-04:00","16524.578","ok",""
"325","6","record","8000","100","V5c","1","6000060","325","2026-08-14T19:15:55.4196237-04:00","18951.66","ok",""
"326","6","record","8000","100","V4","2","6000060","326","2026-08-14T19:16:14.4694701-04:00","15618.215","ok",""
"327","6","record","8000","100","V6c","3","6000060","327","2026-08-14T19:16:30.1833856-04:00","15754.31","ok",""
"328","6","record","8000","10000","V6e","0","6000060","328","2026-08-14T19:16:46.0648247-04:00","16597.215","ok",""
"329","6","record","8000","10000","V5c","1","6000060","329","2026-08-14T19:17:02.7742647-04:00","16827.081","ok",""
"330","6","record","8000","10000","V4","2","6000060","330","2026-08-14T19:17:19.7009069-04:00","14833.054","ok",""
"331","6","record","8000","10000","V6c","3","6000060","331","2026-08-14T19:17:34.6420457-04:00","15868.157","ok",""
"332","6","record","8000","1000000","V6e","0","6000060","332","2026-08-14T19:17:50.6204695-04:00","15885.094","ok",""
"333","6","record","8000","1000000","V5c","1","6000060","333","2026-08-14T19:18:06.6209118-04:00","16622.849","ok",""
"334","6","record","8000","1000000","V4","2","6000060","334","2026-08-14T19:18:23.3509168-04:00","15170.673","ok",""
"335","6","record","8000","1000000","V6c","3","6000060","335","2026-08-14T19:18:38.6471982-04:00","15760.699","ok",""
