"sequence","protocol_repeat","stage","n","kappa","requested_variant","launch_position","protocol_seed","raw_row_index","started_at","process_wall_ms","status","failure"
"49","1","record","2000","100","V6e","1","1000045","49","2026-08-14T18:36:38.6005588-04:00","1693.47","ok",""
"50","1","record","2000","100","V5c","2","1000045","50","2026-08-14T18:36:40.3718240-04:00","1696.847","ok",""
"51","1","record","2000","100","V4","3","1000045","51","2026-08-14T18:36:42.1365670-04:00","1924.455","ok",""
"52","1","record","2000","10000","V6c","0","1000045","52","2026-08-14T18:36:44.1322649-04:00","1936.264","ok",""
"53","1","record","2000","10000","V6e","1","1000045","53","2026-08-14T18:36:46.1508261-04:00","1968.704","ok",""
"54","1","record","2000","10000","V5c","2","1000045","54","2026-08-14T18:36:48.2045491-04:00","2214.411","ok",""
"55","1","record","2000","10000","V4","3","1000045","55","2026-08-14T18:36:50.4939792-04:00","1837.367","ok",""
"56","1","record","2000","1000000","V6c","0","1000045","56","2026-08-14T18:36:52.4023290-04:00","2184.357","ok",""
"57","1","record","2000","1000000","V6e","1","1000045","57","2026-08-14T18:36:54.6532484-04:00","1920.991","ok",""
"58","1","record","2000","1000000","V5c","2","1000045","58","2026-08-14T18:36:56.6407762-04:00","3809.064","ok",""
"59","1","record","2000","1000000","V4","3","1000045","59","2026-08-14T18:37:00.5384393-04:00","2303.328","ok",""
"60","1","record","4096","100","V6c","0","1000045","60","2026-08-14T18:37:02.9190471-04:00","7044.525","ok",""
"61","1","record","4096","100","V6e","1","1000045","61","2026-08-14T18:37:10.1255244-04:00","6908.488","ok",""
"62","1","record","4096","100","V5c","2","1000045","62","2026-08-14T18:37:17.1031364-04:00","7234.557","ok",""
"63","1","record","4096","100","V4","3","1000045","63","2026-08-14T18:37:24.4173268-04:00","6477.451","ok",""
"64","1","record","4096","10000","V6c","0","1000045","64","2026-08-14T18:37:30.9738103-04:00","6701.674","ok",""
"65","1","record","4096","10000","V6e","1","1000045","65","2026-08-14T18:37:37.9480390-04:00","10225.108","ok",""
"66","1","record","4096","10000","V5c","2","1000045","66","2026-08-14T18:37:48.4842966-04:00","10332.948","ok",""
"67","1","record","4096","10000","V4","3","1000045","67","2026-08-14T18:37:58.9390771-04:00","8140.304","ok",""
"68","1","record","4096","1000000","V6c","0","1000045","68","2026-08-14T18:38:07.1447959-04:00","6067.574","ok",""
"69","1","record","4096","1000000","V6e","1","1000045","69","2026-08-14T18:38:13.2857669-04:00","6246.332","ok",""
"70","1","record","4096","1000000","V5c","2","1000045","70","2026-08-14T18:38:19.6110797-04:00","6293.375","ok",""
"71","1","record","4096","1000000","V4","3","1000045","71","2026-08-14T18:38:25.9746166-04:00","6210.664","ok",""
"72","1","record","6000","100","V6c","0","1000045","72","2026-08-14T18:38:32.2547547-04:00","10371.524","ok",""
"73","1","record","6000","100","V6e","1","1000045","73","2026-08-14T18:38:42.7087415-04:00","9598.562","ok",""
"74","1","record","6000","100","V5c","2","1000045","74","2026-08-14T18:38:52.3622076-04:00","10749.411","ok",""
"75","1","record","6000","100","V4","3","1000045","75","2026-08-14T18:39:03.1983446-04:00","9592.924","ok",""
"76","1","record","6000","10000","V6c","0","1000045","76","2026-08-14T18:39:12.8633330-04:00","9554.828","ok",""
"77","1","record","6000","10000","V6e","1","1000045","77","2026-08-14T18:39:22.5096179-04:00","9847.099","ok",""
"78","1","record","6000","10000","V5c","2","1000045","78","2026-08-14T18:39:32.4242821-04:00","10583.071","ok",""
"79","1","record","6000","10000","V4","3","1000045","79","2026-08-14T18:39:43.1015234-04:00","13624.577","ok",""
"80","1","record","6000","1000000","V6c","0","1000045","80","2026-08-14T18:39:56.8170167-04:00","11937.651","ok",""
"81","1","record","6000","1000000","V6e","1","1000045","81","2026-08-14T18:40:08.8324318-04:00","10250.204","ok",""
"82","1","record","6000","1000000","V5c","2","1000045","82","2026-08-14T18:40:19.1478549-04:00","10544.254","ok",""
"83","1","record","6000","1000000","V4","3","1000045","83","2026-08-14T18:40:29.7899375-04:00","10923.244","ok",""
"84","1","record","8000","100","V6c","0","1000045","84","2026-08-14T18:40:40.7838520-04:00","20492.287","ok",""
"85","1","record","8000","100","V6e","1","1000045","85","2026-08-14T18:41:01.3735211-04:00","19026.703","ok",""
"86","1","record","8000","100","V5c","2","1000045","86","2026-08-14T18:41:20.4927493-04:00","19912.872","ok",""
"87","1","record","8000","100","V4","3","1000045","87","2026-08-14T18:41:40.4776916-04:00","18952.608","ok",""
"88","1","record","8000","10000","V6c","0","1000045","88","2026-08-14T18:41:59.5206744-04:00","19009.416","ok",""
"89","1","record","8000","10000","V6e","1","1000045","89","2026-08-14T18:42:18.6044836-04:00","22001.337","ok",""
"90","1","record","8000","10000","V5c","2","1000045","90","2026-08-14T18:42:40.7177379-04:00","27755.53","ok",""
"91","1","record","8000","10000","V4","3","1000045","91","2026-08-14T18:43:08.5656178-04:00","20839.681","ok",""
"92","1","record","8000","1000000","V6c","0","1000045","92","2026-08-14T18:43:29.5510162-04:00","22449.508","ok",""
"93","1","record","8000","1000000","V6e","1","1000045","93","2026-08-14T18:43:52.0880876-04:00","21591.707","ok",""
"94","1","record","8000","1000000","V5c","2","1000045","94","2026-08-14T18:44:13.7572716-04:00","21363.152","ok",""
"95","1","record","8000","1000000","V4","3","1000045","95","2026-08-14T18:44:35.2071094-04:00","18086.945","ok",""
"96","2","record","2000","100","V6e","0","2000048","96","2026-08-14T18:44:53.3731787-04:00","1655.666","ok",""
"97","2","record","2000","100","V5c","1","2000048","97","2026-08-14T18:44:55.1111036-04:00","1532.425","ok",""
"98","2","record","2000","100","V4","2","2000048","98","2026-08-14T18:44:56.7198248-04:00","1533.23","ok",""
"99","2","record","2000","100","V6c","3","2000048","99","2026-08-14T18:44:58.3301220-04:00","1568.098","ok",""
"100","2","record","2000","10000","V6e","0","2000048","100","2026-08-14T18:44:59.9815478-04:00","1681.566","ok",""
"101","2","record","2000","10000","V5c","1","2000048","101","2026-08-14T18:45:01.7412890-04:00","1607.857","ok",""
"102","2","record","2000","10000","V4","2","2000048","102","2026-08-14T18:45:03.4237229-04:00","1548.668","ok",""
"103","2","record","2000","10000","V6c","3","2000048","103","2026-08-14T18:45:05.0785134-04:00","1638.975","ok",""
"104","2","record","2000","1000000","V6e","0","2000048","104","2026-08-14T18:45:06.7866926-04:00","1543.93","ok",""
"105","2","record","2000","1000000","V5c","1","2000048","105","2026-08-14T18:45:08.4224984-04:00","1660.226","ok",""
"106","2","record","2000","1000000","V4","2","2000048","106","2026-08-14T18:45:10.1573358-04:00","1596.988","ok",""
"107","2","record","2000","1000000","V6c","3","2000048","107","2026-08-14T18:45:11.8420873-04:00","1588.838","ok",""
"108","2","record","4096","100","V6e","0","2000048","108","2026-08-14T18:45:13.5164677-04:00","6196.386","ok",""
"109","2","record","4096","100","V5c","1","2000048","109","2026-08-14T18:45:19.7934642-04:00","6482.665","ok",""
"110","2","record","4096","100","V4","2","2000048","110","2026-08-14T18:45:26.3600052-04:00","5912.944","ok",""
"111","2","record","4096","100","V6c","3","2000048","111","2026-08-14T18:45:32.3438361-04:00","5949.207","ok",""
"112","2","record","4096","10000","V6e","0","2000048","112","2026-08-14T18:45:38.3826003-04:00","6064.947","ok",""
"113","2","record","4096","10000","V5c","1","2000048","113","2026-08-14T18:45:44.5213482-04:00","6262.811","ok",""
"114","2","record","4096","10000","V4","2","2000048","114","2026-08-14T18:45:50.8603522-04:00","5914.189","ok",""
"115","2","record","4096","10000","V6c","3","2000048","115","2026-08-14T18:45:56.8582213-04:00","6280.772","ok",""
"116","2","record","4096","1000000","V6e","0","2000048","116","2026-08-14T18:46:03.2247321-04:00","5958.661","ok",""
"117","2","record","4096","1000000","V5c","1","2000048","117","2026-08-14T18:46:09.2645416-04:00","6416.711","ok",""
"118","2","record","4096","1000000","V4","2","2000048","118","2026-08-14T18:46:15.7759993-04:00","6049.786","ok",""
"119","2","record","4096","1000000","V6c","3","2000048","119","2026-08-14T18:46:21.9071037-04:00","5924.003","ok",""
"120","2","record","6000","100","V6e","0","2000048","120","2026-08-14T18:46:27.9100536-04:00","9961.194","ok",""
"121","2","record","6000","100","V5c","1","2000048","121","2026-08-14T18:46:37.9718257-04:00","9814.464","ok",""
"122","2","record","6000","100","V4","2","2000048","122","2026-08-14T18:46:47.8616025-04:00","10372.756","ok",""
"123","2","record","6000","100","V6c","3","2000048","123","2026-08-14T18:46:58.3209866-04:00","9850.843","ok",""
"124","2","record","6000","10000","V6e","0","2000048","124","2026-08-14T18:47:08.2625955-04:00","9865.716","ok",""
"125","2","record","6000","10000","V5c","1","2000048","125","2026-08-14T18:47:18.2139201-04:00","10083.492","ok",""
"126","2","record","6000","10000","V4","2","2000048","126","2026-08-14T18:47:28.3804724-04:00","10138.352","ok",""
"127","2","record","6000","10000","V6c","3","2000048","127","2026-08-14T18:47:38.6249030-04:00","9581.1","ok",""
"128","2","record","6000","1000000","V6e","0","2000048","128","2026-08-14T18:47:48.2816556-04:00","10317.482","ok",""
"129","2","record","6000","1000000","V5c","1","2000048","129","2026-08-14T18:47:58.6974099-04:00","10414.862","ok",""
"130","2","record","6000","1000000","V4","2","2000048","130","2026-08-14T18:48:09.2299413-04:00","9659.015","ok",""
"131","2","record","6000","1000000","V6c","3","2000048","131","2026-08-14T18:48:18.9761297-04:00","10707.49","ok",""
"132","2","record","8000","100","V6e","0","2000048","132","2026-08-14T18:48:29.7989022-04:00","22592.947","ok",""
"133","2","record","8000","100","V5c","1","2000048","133","2026-08-14T18:48:52.4889163-04:00","23452.13","ok",""
"134","2","record","8000","100","V4","2","2000048","134","2026-08-14T18:49:16.0271204-04:00","17272.197","ok",""
"135","2","record","8000","100","V6c","3","2000048","135","2026-08-14T18:49:33.3941325-04:00","21043.27","ok",""
"136","2","record","8000","10000","V6e","0","2000048","136","2026-08-14T18:49:54.5247035-04:00","19477.934","ok",""
"137","2","record","8000","10000","V5c","1","2000048","137","2026-08-14T18:50:14.0839101-04:00","21308.257","ok",""
"138","2","record","8000","10000","V4","2","2000048","138","2026-08-14T18:50:35.5148511-04:00","18831.603","ok",""
"139","2","record","8000","10000","V6c","3","2000048","139","2026-08-14T18:50:54.4384418-04:00","16911.914","ok",""
"140","2","record","8000","1000000","V6e","0","2000048","140","2026-08-14T18:51:11.4303218-04:00","16516.63","ok",""
"141","2","record","8000","1000000","V5c","1","2000048","141","2026-08-14T18:51:28.0283666-04:00","16904.916","ok",""
"142","2","record","8000","1000000","V4","2","2000048","142","2026-08-14T18:51:45.0381072-04:00","15635.624","ok",""
"143","2","record","8000","1000000","V6c","3","2000048","143","2026-08-14T18:52:00.7584342-04:00","15892.351","ok",""
"144","3","record","2000","100","V5c","0","3000051","144","2026-08-14T18:52:16.7218117-04:00","1556.954","ok",""
"145","3","record","2000","100","V4","1","3000051","145","2026-08-14T18:52:18.3573831-04:00","1558.269","ok",""
"146","3","record","2000","100","V6c","2","3000051","146","2026-08-14T18:52:20.0246241-04:00","1599.615","ok",""
"147","3","record","2000","100","V6e","3","3000051","147","2026-08-14T18:52:21.7093753-04:00","1551.898","ok",""
"148","3","record","2000","10000","V5c","0","3000051","148","2026-08-14T18:52:23.3454042-04:00","1533.137","ok",""
"149","3","record","2000","10000","V4","1","3000051","149","2026-08-14T18:52:24.9502340-04:00","1526.212","ok",""
"150","3","record","2000","10000","V6c","2","3000051","150","2026-08-14T18:52:26.5449250-04:00","1533.74","ok",""
"151","3","record","2000","10000","V6e","3","3000051","151","2026-08-14T18:52:28.1516375-04:00","1497.546","ok",""
"152","3","record","2000","1000000","V5c","0","3000051","152","2026-08-14T18:52:29.7326706-04:00","1446.717","ok",""
"153","3","record","2000","1000000","V4","1","3000051","153","2026-08-14T18:52:31.2522622-04:00","1340.756","ok",""
"154","3","record","2000","1000000","V6c","2","3000051","154","2026-08-14T18:52:32.6852036-04:00","1515.88","ok",""
"155","3","record","2000","1000000","V6e","3","3000051","155","2026-08-14T18:52:34.2713680-04:00","1509.558","ok",""
"156","3","record","4096","100","V5c","0","3000051","156","2026-08-14T18:52:35.8629786-04:00","5782.986","ok",""
"157","3","record","4096","100","V4","1","3000051","157","2026-08-14T18:52:41.7430806-04:00","5422.52","ok",""
"158","3","record","4096","100","V6c","2","3000051","158","2026-08-14T18:52:47.2333999-04:00","5532.389","ok",""
"159","3","record","4096","100","V6e","3","3000051","159","2026-08-14T18:52:52.8679428-04:00","5722.678","ok",""
"160","3","record","4096","10000","V5c","0","3000051","160","2026-08-14T18:52:58.6762089-04:00","5738.167","ok",""
"161","3","record","4096","10000","V4","1","3000051","161","2026-08-14T18:53:04.4968985-04:00","5457.789","ok",""
"162","3","record","4096","10000","V6c","2","3000051","162","2026-08-14T18:53:10.0538876-04:00","5770.081","ok",""
"163","3","record","4096","10000","V6e","3","3000051","163","2026-08-14T18:53:15.9113718-04:00","5903.178","ok",""
"164","3","record","4096","1000000","V5c","0","3000051","164","2026-08-14T18:53:21.9124122-04:00","5819.158","ok",""
"165","3","record","4096","1000000","V4","1","3000051","165","2026-08-14T18:53:27.8196164-04:00","5544.966","ok",""
"166","3","record","4096","1000000","V6c","2","3000051","166","2026-08-14T18:53:33.4548536-04:00","5528.115","ok",""
"167","3","record","4096","1000000","V6e","3","3000051","167","2026-08-14T18:53:39.0943568-04:00","5792.493","ok",""
"168","3","record","6000","100","V5c","0","3000051","168","2026-08-14T18:53:45.0023252-04:00","10175.608","ok",""
"169","3","record","6000","100","V4","1","3000051","169","2026-08-14T18:53:55.3189197-04:00","9216.655","ok",""
"170","3","record","6000","100","V6c","2","3000051","170","2026-08-14T18:54:04.6004259-04:00","9396.007","ok",""
"171","3","record","6000","100","V6e","3","3000051","171","2026-08-14T18:54:14.0827377-04:00","8595.439","ok",""
"172","3","record","6000","10000","V5c","0","3000051","172","2026-08-14T18:54:22.7666132-04:00","8758.233","ok",""
"173","3","record","6000","10000","V4","1","3000051","173","2026-08-14T18:54:31.6079306-04:00","8174.906","ok",""
"174","3","record","6000","10000","V6c","2","3000051","174","2026-08-14T18:54:39.8485820-04:00","8459.302","ok",""
"175","3","record","6000","10000","V6e","3","3000051","175","2026-08-14T18:54:48.3894968-04:00","8949.029","ok",""
"176","3","record","6000","1000000","V5c","0","3000051","176","2026-08-14T18:54:57.4142072-04:00","9161.195","ok",""
"177","3","record","6000","1000000","V4","1","3000051","177","2026-08-14T18:55:06.6704503-04:00","8082.256","ok",""
"178","3","record","6000","1000000","V6c","2","3000051","178","2026-08-14T18:55:14.8297671-04:00","8394.506","ok",""
"179","3","record","6000","1000000","V6e","3","3000051","179","2026-08-14T18:55:23.3039200-04:00","8595.284","ok",""
"180","3","record","8000","100","V5c","0","3000051","180","2026-08-14T18:55:32.0068304-04:00","16304.521","ok",""
"181","3","record","8000","100","V4","1","3000051","181","2026-08-14T18:55:48.3998584-04:00","16579.784","ok",""
"182","3","record","8000","100","V6c","2","3000051","182","2026-08-14T18:56:05.1137339-04:00","16626.372","ok",""
"183","3","record","8000","100","V6e","3","3000051","183","2026-08-14T18:56:21.8431447-04:00","17953.008","ok",""
"184","3","record","8000","10000","V5c","0","3000051","184","2026-08-14T18:56:39.8894535-04:00","17817.365","ok",""
"185","3","record","8000","10000","V4","1","3000051","185","2026-08-14T18:56:57.7882354-04:00","16513.855","ok",""
"186","3","record","8000","10000","V6c","2","3000051","186","2026-08-14T18:57:14.4038734-04:00","16799.546","ok",""
"187","3","record","8000","10000","V6e","3","3000051","187","2026-08-14T18:57:31.3013832-04:00","17246.585","ok",""
"188","3","record","8000","1000000","V5c","0","3000051","188","2026-08-14T18:57:48.6407220-04:00","17744.903","ok",""
"189","3","record","8000","1000000","V4","1","3000051","189","2026-08-14T18:58:06.4660519-04:00","16123.48","ok",""
"190","3","record","8000","1000000","V6c","2","3000051","190","2026-08-14T18:58:22.6924660-04:00","16756.519","ok",""
"191","3","record","8000","1000000","V6e","3","3000051","191","2026-08-14T18:58:39.5288617-04:00","17781.671","ok",""
"192","4","record","2000","100","V4","0","4000054","192","2026-08-14T18:58:57.4131145-04:00","1475.046","ok",""
"193","4","record","2000","100","V6c","1","4000054","193","2026-08-14T18:58:58.9820598-04:00","1523.723","ok",""
"194","4","record","2000","100","V6e","2","4000054","194","2026-08-14T18:59:00.6029154-04:00","1522.469","ok",""
"195","4","record","2000","100","V5c","3","4000054","195","2026-08-14T18:59:02.2300871-04:00","1493.453","ok",""
