"sequence","protocol_repeat","stage","n","kappa","requested_variant","launch_position","protocol_seed","raw_row_index","started_at","process_wall_ms","status","failure"
"0","0","warmup","32","100","V4","0","42","0","2026-08-14T18:27:29.0485531-04:00","774.963","ok",""
"1","0","warmup","32","100","V6c","1","42","1","2026-08-14T18:27:29.9751205-04:00","652.928","ok",""
"2","1","record","32","100","V6c","0","1000045","2","2026-08-14T18:27:30.6709179-04:00","641.205","ok",""
"3","1","record","32","100","V4","1","1000045","3","2026-08-14T18:27:31.3587464-04:00","685.82","ok",""
