"variant","n","repeats","median_gpu_ms","q1_gpu_ms","q3_gpu_ms","iqr_gpu_ms","min_gpu_ms","max_gpu_ms","max_residual_norm2","max_solution_error_norm2"
"V3f","64","1","11.118","11.118","11.118","0","11.118","11.118","2.2385E-08","2.05876E-07"
"V4","64","1","18.959","18.959","18.959","0","18.959","18.959","2.65414E-08","2.43677E-07"
