"timestamp","variant","requested_variant","csv_variant","n","run_index","case_repeats","sample_ms","sample_count","process_wall_ms","median_gpu_ms","total_gpu_ms","median_effective_gflops","total_effective_gflop","energy_j","avg_power_w","max_power_w","joules_per_effective_gflop","avg_temp_c","max_temp_c","avg_gpu_util_pct","max_gpu_util_pct","avg_mem_util_pct","avg_graphics_clock_mhz","avg_memory_clock_mhz","residual_norm2","solution_error_norm2"
"2026-06-28T23:13:09","V4","V4","V4","1000","0","3","50","4","950.658","47.9059","64.33566","81.7276","2.000002","8.836663","9.295312","12.04","4.418327","55","55","2.25","3","0","1020","3401","1.39404E-08","4.55335E-07"
"2026-06-28T23:13:11","V6b","V6b","V6b_b64","1000","0","3","50","6","1316.657","149.275","351.7718","7.56263","2.000003","13.850929","10.519768","12.22","6.925454","56","56","4","4","0","1035","3401","3.95054E-09","1.28551E-07"
