"variant","observed_variant","n","kappa","repeats_of_record","median_gpu_ms","q1_gpu_ms","q3_gpu_ms","iqr_gpu_ms","min_residual_norm2","max_residual_norm2","min_solution_error_norm2","max_solution_error_norm2"
"V4","V4","2000","10000","1","40.2847","40.2847","40.2847","0","1.22572E-08","1.22572E-08","0.000358364","0.000358364"
"V5c","V5c_b64","2000","10000","1","98.5448","98.5448","98.5448","0","1.19857E-08","1.19857E-08","0.000343208","0.000343208"
"V6c","V6c_b64","2000","10000","1","102.244","102.244","102.244","0","1.19265E-08","1.19265E-08","0.000343208","0.000343208"
"V6e","V6e_b64","2000","10000","1","102.683","102.683","102.683","0","1.19265E-08","1.19265E-08","0.000343208","0.000343208"
