"repeat","n","launch_position","requested_variant","csv_variant","sample_ms","sample_count","process_wall_ms","gpu_ms","energy_j","avg_power_w","max_power_w","joules_per_effective_gflop","max_temperature_c","avg_graphics_clock_mhz"
"0","16000","0","V1","V1","200","8785","2582922.4162","2570870","85716.240348","33.185759","34.95","31.390224737","75","1779.789"
"0","16000","1","V2","V2","200","8440","2587920.3508","2569370","85637.990767","33.091432","34.93","31.361568884","73","1776.805"
"0","16000","2","V3","V3","200","484","145054.5224","125738","4502.450071","31.039708","35.62","1.648846461","73","1424.349"
"0","16000","3","V3f","V3f","200","484","142912.3028","123984","4412.823337","30.877841","35.12","1.616024171","73","1401.508"
"0","16000","4","V4","V4","200","83","25795.4067","2070.28","240.32459","9.316565","35.58","0.088009493","67","493.916"
"0","16000","5","V5a","V5a_t32x32","200","590","173658.369","161094","5712.035783","32.892373","35.53","2.091809979","77","1594.958"
"0","16000","6","V5af","V5af_t32x32","200","606","177007.1586","159284","5638.320254","31.853628","35.52","2.064814546","73","1564.926"
"0","16000","7","V5bf","V5bf_t32x32","200","803","257310.8932","239423","8327.402149","32.363193","36.13","3.049585748","74","1673.892"
"0","16000","8","VLU","VLU","200","546","167374.5911","148515","5151.353488","30.777393","35.4","1.88648199","75","1478.681"
"0","16000","9","V6a","V6a_b64","200","89","28029.2667","3748.12","321.844639","11.482449","34.76","0.117863027","70","593.09"
"0","16000","10","V6b","V6b_b64","200","64","17560.3479","3648.02","267.274014","15.220314","34.48","0.097878667","73","888.516"
"0","16000","11","V6c","V6c_b64","200","69","20029.5457","3621.78","279.073787","13.933106","35.82","0.102199873","72","826.522"
"0","16000","12","V6d","V6d_b64","200","70","20065.6645","3569.39","306.872924","15.293434","37.55","0.112380221","72","871.714"
"0","16000","13","V6e","V6e_b64","200","93","27596.8314","8633.33","435.798444","15.791612","32.46","0.159594157","72","979.677"
"0","16000","14","V5c","V5c_b64","200","128","40745.9639","14453.3","727.423681","17.852656","35.09","0.266390508","74","870.938"
"1","2000","0","V2","V2","200","14","4883.9617","3025.91","110.268203","22.577614","29.85","20.675287999","72","1495.714"
"1","2000","1","V3","V3","200","6","3143.3693","625.509","38.976919","12.399726","27.87","7.308172373","71","1487.5"
"1","2000","2","V3f","V3f","200","3","1007.1117","376.661","24.718281","24.543733","33.75","4.634677621","72","1750"
"1","2000","3","V4","V4","200","2","667.4292","29.8992","13.144723","19.694558","19.91","2.464635591","72","1785"
"1","2000","4","V5a","V5a_t32x32","200","5","1429.9154","553.95","34.87746","24.391275","29.89","6.5395238","72","1785"
"1","2000","5","V5af","V5af_t32x32","200","3","906.346","418.656","24.472301","27.001058","34.21","4.588556445","72","1760"
"1","2000","6","V5bf","V5bf_t32x32","200","4","1141.3968","554.043","32.841346","28.772943","34.39","6.157752288","73","1785"
"1","2000","7","VLU","VLU","200","4","1156.4722","472.728","28.448566","24.599438","34.67","5.334106104","73","1743.75"
"1","2000","8","V6a","V6a_b64","200","3","858.7393","179.536","18.089289","21.064937","22.55","3.391741768","72","1785"
"1","2000","9","V6b","V6b_b64","200","3","861.6162","132.316","17.943011","20.82483","22.26","3.364314567","71","1785"
"1","2000","10","V6c","V6c_b64","200","3","854.9306","117.816","13.033255","15.24481","15.91","2.443735239","71","1220"
"1","2000","11","V6d","V6d_b32","200","3","904.3056","84.8505","12.754684","14.104395","14.83","2.391503159","70","1025"
"1","2000","12","V6e","V6e_b64","200","3","846.7913","117.928","12.16847","14.370093","15.31","2.2815881","69","1190"
"1","2000","13","V5c","V5c_b64","200","2","631.1071","109.535","10.264094","16.263633","16.42","1.924517674","70","1530"
"1","2000","14","V1","V1","200","12","3265.8121","2607.26","88.678874","27.153698","30.98","16.627288965","73","1742.5"
"1","4000","0","V2","V2","200","66","18121.932","16748.7","584.164498","32.235222","35.23","13.69135542","77","1783.182"
